cases=303 out_dir=agent_space/gb300_fwd_config_final_exact
[40/303] long_k_d64_nonpersistent__q1024_k4096_b8_c0_s1__h16kv4d64v64: 1.048x
[41/303] long_k_d64_nonpersistent__q1024_k5120_b8_c0_s1__h16kv4d64v64: 1.052x
[42/303] long_k_d64_nonpersistent__q1024_k8192_b8_c0_s1__h16kv4d64v64: 1.072x
[43/303] long_k_d64_nonpersistent__q4096_k4096_b8_c0_s1__h16kv4d64v64: 1.021x
[44/303] long_k_d64_nonpersistent__q4096_k5120_b8_c0_s1__h16kv4d64v64: 1.050x
[45/303] long_k_d64_nonpersistent__q4096_k8192_b8_c0_s1__h16kv4d64v64: 1.068x
[46/303] long_k_d64_nonpersistent__q8192_k4096_b8_c0_s1__h16kv4d64v64: 0.999x
[47/303] long_k_d64_nonpersistent__q8192_k5120_b8_c0_s1__h16kv4d64v64: 1.033x
[48/303] long_k_d64_nonpersistent__q8192_k8192_b8_c0_s1__h16kv4d64v64: 1.059x
[49/303] long_k_d64_nonpersistent__q384_k4608_b2_c0_s1__h16kv16d64v64: 1.065x
[50/303] long_k_d64_nonpersistent__q384_k6144_b2_c0_s1__h16kv16d64v64: 1.093x
[51/303] long_k_d64_nonpersistent__q384_k7168_b2_c0_s1__h16kv16d64v64: 1.084x
[52/303] long_k_d64_nonpersistent__q1536_k4608_b2_c0_s1__h16kv16d64v64: 1.073x
[53/303] long_k_d64_nonpersistent__q1536_k6144_b2_c0_s1__h16kv16d64v64: 1.074x
[54/303] long_k_d64_nonpersistent__q1536_k7168_b2_c0_s1__h16kv16d64v64: 1.082x
[55/303] long_k_d64_nonpersistent__q6144_k4608_b2_c0_s1__h16kv16d64v64: 1.031x
[56/303] long_k_d64_nonpersistent__q6144_k6144_b2_c0_s1__h16kv16d64v64: 1.045x
[57/303] long_k_d64_nonpersistent__q6144_k7168_b2_c0_s1__h16kv16d64v64: 1.054x
[58/303] long_k_d64_nonpersistent__q12288_k4608_b2_c0_s1__h16kv16d64v64: 1.035x
[59/303] long_k_d64_nonpersistent__q12288_k6144_b2_c0_s1__h16kv16d64v64: 1.043x
[60/303] long_k_d64_nonpersistent__q12288_k7168_b2_c0_s1__h16kv16d64v64: 1.061x
[61/303] long_k_d64_nonpersistent__q384_k4608_b16_c0_s1__h16kv16d64v64: 1.050x
[62/303] long_k_d64_nonpersistent__q384_k6144_b16_c0_s1__h16kv16d64v64: 1.061x
[63/303] long_k_d64_nonpersistent__q384_k7168_b16_c0_s1__h16kv16d64v64: 1.065x
[64/303] long_k_d64_nonpersistent__q1536_k4608_b16_c0_s1__h16kv16d64v64: 1.026x
[65/303] long_k_d64_nonpersistent__q1536_k6144_b16_c0_s1__h16kv16d64v64: 1.053x
[66/303] long_k_d64_nonpersistent__q1536_k7168_b16_c0_s1__h16kv16d64v64: 1.051x
[67/303] long_k_d64_nonpersistent__q6144_k4608_b16_c0_s1__h16kv16d64v64: 1.009x
[68/303] long_k_d64_nonpersistent__q6144_k6144_b16_c0_s1__h16kv16d64v64: 1.026x
[69/303] long_k_d64_nonpersistent__q6144_k7168_b16_c0_s1__h16kv16d64v64: 1.040x
[70/303] long_k_d64_nonpersistent__q12288_k4608_b16_c0_s1__h16kv16d64v64: 1.028x
[71/303] long_k_d64_nonpersistent__q12288_k6144_b16_c0_s1__h16kv16d64v64: 1.040x
[72/303] long_k_d64_nonpersistent__q12288_k7168_b16_c0_s1__h16kv16d64v64: 1.044x
[73/303] long_k_d64_nonpersistent__q384_k4608_b2_c0_s1__h16kv1d64v64: 1.067x
[74/303] long_k_d64_nonpersistent__q384_k6144_b2_c0_s1__h16kv1d64v64: 1.105x
[75/303] long_k_d64_nonpersistent__q384_k7168_b2_c0_s1__h16kv1d64v64: 1.088x
[76/303] long_k_d64_nonpersistent__q1536_k4608_b2_c0_s1__h16kv1d64v64: 1.063x
[77/303] long_k_d64_nonpersistent__q1536_k6144_b2_c0_s1__h16kv1d64v64: 1.088x
[78/303] long_k_d64_nonpersistent__q1536_k7168_b2_c0_s1__h16kv1d64v64: 1.083x
[79/303] long_k_d64_nonpersistent__q6144_k4608_b2_c0_s1__h16kv1d64v64: 1.046x
[80/303] long_k_d64_nonpersistent__q6144_k6144_b2_c0_s1__h16kv1d64v64: 1.062x
[81/303] long_k_d64_nonpersistent__q6144_k7168_b2_c0_s1__h16kv1d64v64: 1.072x
[82/303] long_k_d64_nonpersistent__q12288_k4608_b2_c0_s1__h16kv1d64v64: 1.031x
[83/303] long_k_d64_nonpersistent__q12288_k6144_b2_c0_s1__h16kv1d64v64: 1.053x
[84/303] long_k_d64_nonpersistent__q12288_k7168_b2_c0_s1__h16kv1d64v64: 1.054x
[85/303] long_k_d64_nonpersistent__q384_k4608_b16_c0_s1__h16kv1d64v64: 1.060x
[86/303] long_k_d64_nonpersistent__q384_k6144_b16_c0_s1__h16kv1d64v64: 1.079x
[87/303] long_k_d64_nonpersistent__q384_k7168_b16_c0_s1__h16kv1d64v64: 1.084x
[88/303] long_k_d64_nonpersistent__q1536_k4608_b16_c0_s1__h16kv1d64v64: 1.030x
[89/303] long_k_d64_nonpersistent__q1536_k6144_b16_c0_s1__h16kv1d64v64: 1.055x
[90/303] long_k_d64_nonpersistent__q1536_k7168_b16_c0_s1__h16kv1d64v64: 1.054x
[91/303] long_k_d64_nonpersistent__q6144_k4608_b16_c0_s1__h16kv1d64v64: 1.030x
[92/303] long_k_d64_nonpersistent__q6144_k6144_b16_c0_s1__h16kv1d64v64: 1.032x
[93/303] long_k_d64_nonpersistent__q6144_k7168_b16_c0_s1__h16kv1d64v64: 1.041x
[94/303] long_k_d64_nonpersistent__q12288_k4608_b16_c0_s1__h16kv1d64v64: 1.023x
[95/303] long_k_d64_nonpersistent__q12288_k6144_b16_c0_s1__h16kv1d64v64: 1.044x
[96/303] long_k_d64_nonpersistent__q12288_k7168_b16_c0_s1__h16kv1d64v64: 1.050x
[97/303] balanced_varlen_mha_clc__q10240_k5120_b4_uniform_c0_s1__h8kv8d64v64: 1.095x
[98/303] balanced_varlen_mha_clc__q10240_k15360_b4_uniform_c0_s1__h8kv8d64v64: 1.024x
[99/303] balanced_varlen_mha_clc__q12288_k6144_b4_uniform_c0_s1__h8kv8d64v64: 1.075x
[100/303] balanced_varlen_mha_clc__q12288_k18432_b4_uniform_c0_s1__h8kv8d64v64: 1.031x
[101/303] balanced_varlen_mha_clc__q16384_k8192_b4_uniform_c0_s1__h8kv8d64v64: 1.074x
[102/303] balanced_varlen_mha_clc__q16384_k24576_b4_uniform_c0_s1__h8kv8d64v64: 1.035x
[103/303] balanced_varlen_mha_clc__q10240_k5120_b16_uniform_c0_s1__h8kv8d64v64: 1.130x
[104/303] balanced_varlen_mha_clc__q10240_k15360_b16_uniform_c0_s1__h8kv8d64v64: 1.086x
[105/303] balanced_varlen_mha_clc__q12288_k6144_b16_uniform_c0_s1__h8kv8d64v64: 1.145x
[106/303] balanced_varlen_mha_clc__q12288_k18432_b16_uniform_c0_s1__h8kv8d64v64: 1.095x
[107/303] balanced_varlen_mha_clc__q16384_k8192_b16_uniform_c0_s1__h8kv8d64v64: 1.159x
[108/303] balanced_varlen_mha_clc__q16384_k24576_b16_uniform_c0_s1__h8kv8d64v64: 1.111x
[109/303] balanced_varlen_mha_clc__q10240_k5120_b4_uniform_c0_s1__h8kv8d128v128: 1.123x
[110/303] balanced_varlen_mha_clc__q10240_k15360_b4_uniform_c0_s1__h8kv8d128v128: 1.031x
[111/303] balanced_varlen_mha_clc__q12288_k6144_b4_uniform_c0_s1__h8kv8d128v128: 1.109x
[112/303] balanced_varlen_mha_clc__q12288_k18432_b4_uniform_c0_s1__h8kv8d128v128: 1.033x
[113/303] balanced_varlen_mha_clc__q16384_k8192_b4_uniform_c0_s1__h8kv8d128v128: 1.127x
[114/303] balanced_varlen_mha_clc__q16384_k24576_b4_uniform_c0_s1__h8kv8d128v128: 1.039x
[115/303] balanced_varlen_mha_clc__q10240_k5120_b16_uniform_c0_s1__h8kv8d128v128: 1.162x
[116/303] balanced_varlen_mha_clc__q10240_k15360_b16_uniform_c0_s1__h8kv8d128v128: 1.135x
[117/303] balanced_varlen_mha_clc__q12288_k6144_b16_uniform_c0_s1__h8kv8d128v128: 1.222x
[118/303] balanced_varlen_mha_clc__q12288_k18432_b16_uniform_c0_s1__h8kv8d128v128: 1.146x
[119/303] balanced_varlen_mha_clc__q16384_k8192_b16_uniform_c0_s1__h8kv8d128v128: 1.315x
[120/303] balanced_varlen_mha_clc__q16384_k24576_b16_uniform_c0_s1__h8kv8d128v128: 1.124x
[121/303] balanced_varlen_mha_clc__q10240_k5120_b4_uniform_c0_s1__h16kv16d64v64: 1.121x
[122/303] balanced_varlen_mha_clc__q10240_k15360_b4_uniform_c0_s1__h16kv16d64v64: 1.059x
[123/303] balanced_varlen_mha_clc__q12288_k6144_b4_uniform_c0_s1__h16kv16d64v64: 1.123x
[124/303] balanced_varlen_mha_clc__q12288_k18432_b4_uniform_c0_s1__h16kv16d64v64: 1.055x
[125/303] balanced_varlen_mha_clc__q16384_k8192_b4_uniform_c0_s1__h16kv16d64v64: 1.128x
[126/303] balanced_varlen_mha_clc__q16384_k24576_b4_uniform_c0_s1__h16kv16d64v64: 1.047x
[127/303] balanced_varlen_mha_clc__q10240_k5120_b16_uniform_c0_s1__h16kv16d64v64: 1.242x
[128/303] balanced_varlen_mha_clc__q10240_k15360_b16_uniform_c0_s1__h16kv16d64v64: 1.189x
[129/303] balanced_varlen_mha_clc__q12288_k6144_b16_uniform_c0_s1__h16kv16d64v64: 1.282x
[130/303] balanced_varlen_mha_clc__q12288_k18432_b16_uniform_c0_s1__h16kv16d64v64: 1.179x
[131/303] balanced_varlen_mha_clc__q16384_k8192_b16_uniform_c0_s1__h16kv16d64v64: 1.307x
[132/303] balanced_varlen_mha_clc__q16384_k24576_b16_uniform_c0_s1__h16kv16d64v64: 1.165x
[133/303] balanced_varlen_mha_clc__q10240_k5120_b4_uniform_c0_s1__h16kv16d128v128: 1.166x
[134/303] balanced_varlen_mha_clc__q10240_k15360_b4_uniform_c0_s1__h16kv16d128v128: 1.064x
[135/303] balanced_varlen_mha_clc__q12288_k6144_b4_uniform_c0_s1__h16kv16d128v128: 1.124x
[136/303] balanced_varlen_mha_clc__q12288_k18432_b4_uniform_c0_s1__h16kv16d128v128: 1.034x
[137/303] balanced_varlen_mha_clc__q16384_k8192_b4_uniform_c0_s1__h16kv16d128v128: 1.138x
[138/303] balanced_varlen_mha_clc__q16384_k24576_b4_uniform_c0_s1__h16kv16d128v128: 1.068x
[139/303] balanced_varlen_mha_clc__q10240_k5120_b16_uniform_c0_s1__h16kv16d128v128: 1.345x
[140/303] balanced_varlen_mha_clc__q10240_k15360_b16_uniform_c0_s1__h16kv16d128v128: 1.169x
[141/303] balanced_varlen_mha_clc__q12288_k6144_b16_uniform_c0_s1__h16kv16d128v128: 1.373x
[142/303] balanced_varlen_mha_clc__q12288_k18432_b16_uniform_c0_s1__h16kv16d128v128: 1.187x
[143/303] balanced_varlen_mha_clc__q16384_k8192_b16_uniform_c0_s1__h16kv16d128v128: 1.349x
[144/303] balanced_varlen_mha_clc__q16384_k24576_b16_uniform_c0_s1__h16kv16d128v128: 1.158x
[145/303] balanced_varlen_mha_clc__q11264_k4224_b8_bimodal_c0_s1__h16kv16d96v96: 1.140x
[146/303] balanced_varlen_mha_clc__q11264_k4224_b8_staircase_c0_s1__h16kv16d96v96: 1.232x
[147/303] balanced_varlen_mha_clc__q11264_k11264_b8_bimodal_c0_s1__h16kv16d96v96: 1.047x
[148/303] balanced_varlen_mha_clc__q11264_k11264_b8_staircase_c0_s1__h16kv16d96v96: 1.117x
[149/303] balanced_varlen_mha_clc__q11264_k22528_b8_bimodal_c0_s1__h16kv16d96v96: 1.010x
[150/303] balanced_varlen_mha_clc__q11264_k22528_b8_staircase_c0_s1__h16kv16d96v96: 1.065x
[151/303] balanced_varlen_mha_clc__q13312_k4992_b8_bimodal_c0_s1__h16kv16d96v96: 1.178x
[152/303] balanced_varlen_mha_clc__q13312_k4992_b8_staircase_c0_s1__h16kv16d96v96: 1.197x
[153/303] balanced_varlen_mha_clc__q13312_k13312_b8_bimodal_c0_s1__h16kv16d96v96: 1.077x
[154/303] balanced_varlen_mha_clc__q13312_k13312_b8_staircase_c0_s1__h16kv16d96v96: 1.106x
[155/303] balanced_varlen_mha_clc__q13312_k26624_b8_bimodal_c0_s1__h16kv16d96v96: 1.055x
[156/303] balanced_varlen_mha_clc__q13312_k26624_b8_staircase_c0_s1__h16kv16d96v96: 1.062x
[157/303] balanced_varlen_mha_clc__q18432_k6912_b8_bimodal_c0_s1__h16kv16d96v96: 1.178x
[158/303] balanced_varlen_mha_clc__q18432_k6912_b8_staircase_c0_s1__h16kv16d96v96: 1.189x
[159/303] balanced_varlen_mha_clc__q18432_k18432_b8_bimodal_c0_s1__h16kv16d96v96: 1.070x
[160/303] balanced_varlen_mha_clc__q18432_k18432_b8_staircase_c0_s1__h16kv16d96v96: 1.091x
[161/303] balanced_varlen_mha_clc__q18432_k36864_b8_bimodal_c0_s1__h16kv16d96v96: 1.025x
[162/303] balanced_varlen_mha_clc__q18432_k36864_b8_staircase_c0_s1__h16kv16d96v96: 1.054x
[163/303] balanced_varlen_mha_clc__q11264_k4224_b24_bimodal_c0_s1__h16kv16d96v96: 1.298x
[164/303] balanced_varlen_mha_clc__q11264_k4224_b24_staircase_c0_s1__h16kv16d96v96: 1.336x
[165/303] balanced_varlen_mha_clc__q11264_k11264_b24_bimodal_c0_s1__h16kv16d96v96: 1.155x
[166/303] balanced_varlen_mha_clc__q11264_k11264_b24_staircase_c0_s1__h16kv16d96v96: 1.227x
[167/303] balanced_varlen_mha_clc__q11264_k22528_b24_bimodal_c0_s1__h16kv16d96v96: 1.084x
[168/303] balanced_varlen_mha_clc__q11264_k22528_b24_staircase_c0_s1__h16kv16d96v96: 1.159x
[169/303] balanced_varlen_mha_clc__q13312_k4992_b24_bimodal_c0_s1__h16kv16d96v96: 1.321x
[170/303] balanced_varlen_mha_clc__q13312_k4992_b24_staircase_c0_s1__h16kv16d96v96: 1.354x
[171/303] balanced_varlen_mha_clc__q13312_k13312_b24_bimodal_c0_s1__h16kv16d96v96: 1.155x
[172/303] balanced_varlen_mha_clc__q13312_k13312_b24_staircase_c0_s1__h16kv16d96v96: 1.246x
[173/303] balanced_varlen_mha_clc__q13312_k26624_b24_bimodal_c0_s1__h16kv16d96v96: 1.072x
[174/303] balanced_varlen_mha_clc__q13312_k26624_b24_staircase_c0_s1__h16kv16d96v96: 1.146x
[175/303] balanced_varlen_mha_clc__q18432_k6912_b24_bimodal_c0_s1__h16kv16d96v96: 1.330x
[176/303] balanced_varlen_mha_clc__q18432_k6912_b24_staircase_c0_s1__h16kv16d96v96: 1.338x
[177/303] balanced_varlen_mha_clc__q18432_k18432_b24_bimodal_c0_s1__h16kv16d96v96: 1.170x
[178/303] balanced_varlen_mha_clc__q18432_k18432_b24_staircase_c0_s1__h16kv16d96v96: 1.204x
[179/303] balanced_varlen_mha_clc__q18432_k36864_b24_bimodal_c0_s1__h16kv16d96v96: 1.083x
[180/303] balanced_varlen_mha_clc__q18432_k36864_b24_staircase_c0_s1__h16kv16d96v96: 1.117x
[181/303] high_head_varlen_clc__q6144_k12288_b48_bimodal_c1_s1__h32kv8d128v128: 1.248x
[182/303] high_head_varlen_clc__q12288_k6144_b3_staircase_c0_s1__h24kv24d96v96: 1.115x
[183/303] high_head_varlen_clc__q6144_k6144_b48_staircase_c1_s1__h28kv4d128v128: 1.140x
[184/303] high_head_varlen_clc__q24576_k24576_b24_staircase_c0_s1__h32kv8d128v128: 1.219x
[185/303] high_head_varlen_clc__q6144_k6144_b12_bimodal_c1_s1__h71kv1d64v64: 1.265x
[186/303] high_head_varlen_clc__q12288_k6144_b24_staircase_c1_s1__h28kv4d128v128: 1.153x
[187/303] high_head_varlen_clc__q4096_k4096_b12_staircase_c0_s1__h32kv8d128v128: 1.224x
[188/303] high_head_varlen_clc__q6144_k6144_b24_bimodal_c1_s1__h24kv24d96v96: 1.156x
[189/303] high_head_varlen_clc__q12288_k6144_b3_staircase_c1_s1__h71kv1d64v64: 1.217x
[190/303] high_head_varlen_clc__q6144_k12288_b3_bimodal_c1_s1__h32kv8d128v128: 1.013x
[191/303] high_head_varlen_clc__q12288_k6144_b12_staircase_c1_s1__h24kv24d96v96: 1.223x
[192/303] high_head_varlen_clc__q6144_k6144_b12_bimodal_c0_s1__h28kv4d128v128: 1.143x
[193/303] high_head_varlen_clc__q24576_k24576_b48_bimodal_c1_s1__h32kv8d128v128: 1.321x
[194/303] high_head_varlen_clc__q6144_k6144_b24_bimodal_c0_s1__h71kv1d64v64: 1.358x
[195/303] high_head_varlen_clc__q12288_k6144_b3_staircase_c1_s1__h28kv4d128v128: 1.193x
[196/303] high_head_varlen_clc__q4096_k4096_b48_staircase_c0_s1__h32kv8d128v128: 1.294x
[197/303] high_head_varlen_clc__q6144_k6144_b3_bimodal_c0_s1__h24kv24d96v96: 1.003x
[198/303] high_head_varlen_clc__q12288_k6144_b12_staircase_c1_s1__h71kv1d64v64: 1.275x
[199/303] high_head_varlen_clc__q6144_k12288_b24_staircase_c0_s1__h32kv8d128v128: 1.239x
[200/303] high_head_varlen_clc__q12288_k6144_b48_bimodal_c1_s1__h24kv24d96v96: 1.240x
[201/303] high_head_varlen_clc__q6144_k6144_b24_bimodal_c0_s1__h28kv4d128v128: 1.175x
[202/303] high_head_varlen_clc__q24576_k24576_b12_bimodal_c1_s1__h32kv8d128v128: 1.189x
[203/303] high_head_varlen_clc__q6144_k6144_b3_bimodal_c0_s1__h71kv1d64v64: 1.082x
[204/303] high_head_varlen_clc__q12288_k6144_b12_staircase_c0_s1__h28kv4d128v128: 1.196x
[205/303] high_head_varlen_clc__q4096_k4096_b3_bimodal_c1_s1__h32kv8d128v128: 1.096x
[206/303] high_head_varlen_clc__q6144_k6144_b12_staircase_c0_s1__h24kv24d96v96: 1.203x
[207/303] high_head_varlen_clc__q12288_k6144_b48_bimodal_c0_s1__h71kv1d64v64: 1.421x
[208/303] high_head_varlen_clc__q6144_k12288_b48_staircase_c0_s1__h32kv8d128v128: 1.357x
[209/303] high_head_varlen_clc__q12288_k6144_b3_bimodal_c0_s1__h24kv24d96v96: 1.047x
[210/303] high_head_varlen_clc__q6144_k6144_b3_bimodal_c1_s1__h28kv4d128v128: 1.102x
[211/303] high_head_varlen_clc__q24576_k24576_b24_bimodal_c0_s1__h32kv8d128v128: 1.138x
[212/303] high_head_varlen_clc__q6144_k6144_b12_staircase_c1_s1__h71kv1d64v64: 1.273x
[213/303] high_head_varlen_clc__q12288_k6144_b48_bimodal_c0_s1__h28kv4d128v128: 1.242x
[214/303] high_head_varlen_clc__q4096_k4096_b24_bimodal_c0_s1__h32kv8d128v128: 1.259x
[215/303] high_head_varlen_clc__q6144_k6144_b48_staircase_c1_s1__h24kv24d96v96: 1.311x
[216/303] high_head_varlen_clc__q12288_k6144_b3_bimodal_c0_s1__h71kv1d64v64: 1.075x
[217/303] high_head_varlen_clc__q6144_k12288_b12_staircase_c1_s1__h32kv8d128v128: 1.124x
[218/303] high_head_varlen_clc__q12288_k6144_b24_bimodal_c0_s1__h24kv24d96v96: 1.376x
[219/303] high_head_varlen_clc__q6144_k6144_b12_staircase_c0_s1__h28kv4d128v128: 1.142x
[220/303] high_head_varlen_clc__q24576_k24576_b3_staircase_c0_s1__h32kv8d128v128: 1.023x
[221/303] high_head_varlen_clc__q6144_k6144_b48_staircase_c0_s1__h71kv1d64v64: 1.388x
[222/303] high_head_varlen_clc__q12288_k6144_b3_bimodal_c1_s1__h28kv4d128v128: 1.103x
[223/303] high_head_varlen_clc__q4096_k4096_b48_bimodal_c0_s1__h32kv8d128v128: 1.320x
[224/303] high_head_varlen_clc__q6144_k6144_b3_staircase_c0_s1__h24kv24d96v96: 1.080x
[225/303] high_head_varlen_clc__q6144_k12288_b6_bimodal_c0_s1__h28kv4d128v128: 1.022x
[226/303] high_head_varlen_clc__q6144_k12288_b6_bimodal_c1_s1__h28kv4d128v128: 1.090x
[227/303] high_head_varlen_clc__q12288_k6144_b12_staircase_c0_s1__h32kv8d128v128: 1.273x
[228/303] high_head_varlen_clc__q12288_k6144_b12_staircase_c1_s1__h32kv8d128v128: 1.252x
[229/303] high_head_varlen_clc__q9216_k4608_b12_bimodal_c0_s1__h24kv24d96v96: 1.255x
[230/303] high_head_varlen_clc__q9216_k4608_b12_bimodal_c1_s1__h24kv24d96v96: 1.184x
[231/303] dense_short_k_clc__q1_k2048_b32_c1_s1__h32kv8d128v128: 1.050x
